Year-Week,Avg_TMAX,Total_PRCP
2014-08,38.142857142857146,1.51
2014-09,22.571428571428573,0.38
2014-10,32.714285714285715,0.16999999999999998
2014-11,42.285714285714285,0.62
2014-12,45.142857142857146,0.23
2014-13,44.857142857142854,0.31
2014-14,52.714285714285715,0.53
2014-15,65.85714285714286,0.45
2014-16,58.714285714285715,0.3
2014-17,62.42857142857143,0.33
2014-18,56.285714285714285,1.32
2014-19,73.71428571428571,1.2999999999999998
2014-20,62.42857142857143,2.52
2014-21,76.57142857142857,0.83
2014-22,82.28571428571429,0.24
2014-23,78.14285714285714,0.64
2014-24,75.42857142857143,1.78
2014-25,84.42857142857143,2.26
2014-26,83.71428571428571,0.53
2014-27,79.42857142857143,2.79
2014-28,82.0,1.66
2014-29,77.28571428571429,0.25
2014-30,81.71428571428571,0.03
2014-31,82.14285714285714,0.16
2014-32,81.57142857142857,2.76
2014-33,76.71428571428571,0.9199999999999999
2014-34,84.85714285714286,2.99
2014-35,83.71428571428571,0.48
2014-36,82.28571428571429,1.13
2014-37,67.28571428571429,1.4500000000000002
2014-38,70.57142857142857,0.12
2014-39,75.42857142857143,0.0
2014-40,64.28571428571429,1.08
2014-41,62.0,0.02
2014-42,58.42857142857143,1.35
2014-43,62.285714285714285,0.01
2014-44,55.142857142857146,0.03
2014-45,53.57142857142857,0.01
2014-46,38.42857142857143,0.26
2014-47,34.0,0.7
2014-48,38.0,0.44
2014-49,35.285714285714285,0.0
2014-50,39.142857142857146,0.2
2014-51,35.57142857142857,0.08
2014-52,43.57142857142857,0.51
2015-01,33.25,0.7
2015-02,15.285714285714286,0.41000000000000003
2015-03,30.857142857142858,0.0
2015-04,35.57142857142857,0.09
2015-05,32.0,1.08
2015-06,28.0,0.17
2015-07,25.857142857142858,0.03
2015-08,18.142857142857142,0.01
2015-09,20.857142857142858,0.37000000000000005
2015-10,32.142857142857146,0.13
2015-11,56.42857142857143,0.0
2015-12,49.714285714285715,0.02
2015-13,37.857142857142854,0.95
2015-14,61.857142857142854,0.36
2015-15,60.142857142857146,1.5
2015-16,67.42857142857143,0.68
2015-17,52.57142857142857,0.33
2015-18,63.714285714285715,0.42
2015-19,69.85714285714286,2.17
2015-20,68.42857142857143,0.49
2015-21,66.42857142857143,0.39999999999999997
2015-22,73.57142857142857,1.1800000000000002
2015-23,72.85714285714286,0.36
2015-24,81.28571428571429,1.44
2015-25,76.0,3.2800000000000002
2015-26,77.85714285714286,1.25
2015-27,75.85714285714286,0.79
2015-28,77.71428571428571,0.86
2015-29,83.57142857142857,1.99
2015-30,84.28571428571429,0.0
2015-31,88.57142857142857,0.53
2015-32,82.0,0.0
2015-33,86.14285714285714,0.37
2015-34,80.0,0.52
2015-35,72.71428571428571,0.74
2015-36,88.28571428571429,0.0
2015-37,74.57142857142857,1.42
2015-38,78.57142857142857,2.82
2015-39,76.0,0.0
2015-40,62.285714285714285,0.41000000000000003
2015-41,69.57142857142857,0.05
2015-42,62.57142857142857,0.0
2015-43,68.0,0.58
2015-44,55.857142857142854,1.59
2015-45,64.71428571428571,0.16
2015-46,57.0,0.42
2015-47,46.714285714285715,2.3899999999999997
2015-48,46.42857142857143,1.2599999999999998
2015-49,42.857142857142854,0.65
2015-50,52.0,0.85
2015-51,43.42857142857143,0.54
2015-52,45.714285714285715,1.53
2015-53,33.75,1.56
2016-01,35.142857142857146,0.47000000000000003
2016-02,27.714285714285715,0.13
2016-03,24.714285714285715,0.07
2016-04,41.44444444444444,0.19
2016-05,38.57142857142857,1.62
2016-06,21.428571428571427,0.28
2016-07,42.285714285714285,0.1
2016-08,44.42857142857143,0.45999999999999996
2016-09,39.57142857142857,0.48000000000000004
2016-10,58.42857142857143,1.74
2016-11,52.0,0.38
2016-12,51.142857142857146,3.04
2016-13,57.142857142857146,1.24
2016-14,43.285714285714285,1.18
2016-15,62.57142857142857,0.0
2016-16,67.57142857142857,0.98
2016-17,56.857142857142854,4.26
2016-18,66.71428571428571,0.8400000000000001
2016-19,61.142857142857146,5.46
2016-20,68.71428571428571,0.0
2016-21,82.42857142857143,2.42
2016-22,80.42857142857143,2.88
2016-23,78.71428571428571,0.62
2016-24,85.85714285714286,0.6399999999999999
2016-25,84.57142857142857,2.68
2016-26,77.85714285714286,0.0
2016-27,83.57142857142857,3.84
2016-28,83.57142857142857,0.9
2016-29,90.28571428571429,6.18
2016-30,84.28571428571429,1.54
2016-31,86.42857142857143,0.04
2016-32,86.71428571428571,1.92
2016-33,82.71428571428571,2.7199999999999998
2016-34,82.28571428571429,2.6
2016-35,78.42857142857143,1.24
2016-36,82.71428571428571,0.9
2016-37,80.28571428571429,0.27999999999999997
2016-38,79.71428571428571,1.12
2016-39,65.28571428571429,3.1599999999999997
2016-40,70.57142857142857,0.5
2016-41,68.28571428571429,0.86
2016-42,67.42857142857143,0.04
2016-43,58.142857142857146,4.2
2016-44,66.9,0.36
2016-45,58.57142857142857,0.03
2016-46,55.142857142857146,0.21000000000000002
