"STATION","NAME","DATE","PRCP","TMAX"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-16","0.00","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-17","0.00","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-18","0.07","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-19","0.00","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-20","0.00","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-21","0.01","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-22","0.58","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-23","0.00","79"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-24","0.11","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-25","2.24","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-26","1.06","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-27","0.00","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-28","0.12","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-29","1.88","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-30","0.00","88"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-31","0.08","85"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-01","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-02","0.02","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-03","0.01","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-04","0.18","92"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-05","0.00","85"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-06","0.00","93"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-07","0.00","96"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-08","0.17","95"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-09","0.93","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-10","0.52","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-11","0.03","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-12","0.00","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-13","0.00","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-14","0.00","77"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-15","0.80","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-16","0.04","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-17","0.00","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-18","0.00","84"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-19","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-20","0.18","79"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-21","0.45","89"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-22","0.02","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-23","0.01","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-24","0.00","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-25","0.00","79"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-26","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-27","0.03","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-28","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-29","0.00","81"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06-30","0.00","88"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-01","0.00","89"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-02","0.00","94"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-03","0.00","84"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-04","0.00","89"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-05","0.00","91"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-06","0.00","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-07","0.00","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-08","0.00","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-09","0.00","91"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-10","0.00","91"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-11","0.39","88"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-12","0.01","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07-13","0.00","74"
