STATION,NAME,DATE,PRCP,TMAX
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/3/11,0,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/4/11,0,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/5/11,0.06,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/6/11,0,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/7/11,0,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/8/11,0,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/9/11,0,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/10/11,0,90
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/11/11,0.13,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/12/11,0.29,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/13/11,0.02,77
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/14/11,0.31,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/15/11,0.31,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/16/11,0,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/17/11,0,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/18/11,0.07,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/19/11,0,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/20/11,0,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/21/11,0.01,75
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/22/11,0.58,87
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/23/11,0,79
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/24/11,0.11,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/25/11,2.24,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/26/11,1.06,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/27/11,0,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/28/11,0.12,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/29/11,1.88,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/30/11,0,88
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/31/11,0.08,85
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/1/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/2/11,0.02,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/3/11,0.01,87
