TEST DATE,Positive_Pools,Total_Mosquitoes,MIR
2014-10-02 00:10:00,0,322,0.0
2015-06-04 00:06:00,0,271,0.0
2015-06-11 00:06:00,0,663,0.0
2015-06-18 00:06:00,0,1017,0.0
2015-06-25 00:06:00,0,574,0.0
2015-07-02 00:07:00,1,917,1.0905125408942202
2015-07-09 00:07:00,0,1339,0.0
2015-07-16 00:07:00,2,1374,1.455604075691412
2015-07-23 00:07:00,7,1400,5.0
2015-07-30 00:07:00,8,1950,4.102564102564102
2015-08-06 00:08:00,13,1461,8.89801505817933
2015-08-12 00:08:00,7,461,15.184381778741864
2015-08-13 00:08:00,9,925,9.72972972972973
2015-08-19 00:08:00,15,516,29.069767441860463
2015-08-20 00:08:00,5,511,9.784735812133071
2015-08-26 00:08:00,6,391,15.34526854219949
2015-08-27 00:08:00,14,935,14.973262032085561
2015-09-02 00:09:00,12,814,14.742014742014742
2015-09-10 00:09:00,6,363,16.528925619834713
2015-09-17 00:09:00,4,576,6.944444444444444
2015-09-23 00:09:00,1,263,3.802281368821293
2015-09-30 00:09:00,3,169,17.75147928994083
2016-06-09 00:06:00,0,138,0.0
2016-06-16 00:06:00,0,1121,0.0
2016-06-22 00:06:00,0,2268,0.0
2016-07-01 00:07:00,1,1013,0.9871668311944718
2016-07-08 00:07:00,9,1487,6.05245460659045
2016-07-14 00:07:00,5,868,5.760368663594471
2016-07-21 00:07:00,15,1466,10.231923601637108
2016-07-27 00:07:00,86,5629,15.278024515899805
2016-08-04 00:08:00,82,3492,23.482245131729666
2016-08-11 00:08:00,83,3670,22.615803814713896
2016-08-18 00:08:00,53,2353,22.524436889077773
2016-08-19 00:08:00,17,1302,13.056835637480798
2016-08-25 00:08:00,25,1308,19.1131498470948
2016-09-01 00:09:00,29,2120,13.679245283018869
2016-09-08 00:09:00,25,2189,11.420740063956144
2016-09-09 00:09:00,12,1315,9.125475285171103
2016-09-15 00:09:00,11,1634,6.731946144430845
2016-09-22 00:09:00,2,1630,1.2269938650306749
2016-09-23 00:09:00,1,392,2.5510204081632653
2016-09-29 00:09:00,3,800,3.75
2017-06-16 00:06:00,0,549,0.0
2017-06-19 00:06:00,1,525,1.9047619047619047
2017-06-22 00:06:00,1,251,3.9840637450199203
2017-06-29 00:06:00,1,402,2.487562189054726
2017-07-14 00:07:00,13,1848,7.034632034632035
2017-07-20 00:07:00,18,1336,13.47305389221557
2017-07-27 00:07:00,12,660,18.18181818181818
2017-08-03 00:08:00,36,1582,22.756005056890015
2017-08-10 00:08:00,20,1017,19.66568338249754
2017-08-17 00:08:00,31,1552,19.97422680412371
2017-08-24 00:08:00,23,1090,21.100917431192663
2017-08-31 00:08:00,7,547,12.79707495429616
2017-09-08 00:09:00,4,515,7.766990291262136
2017-09-14 00:09:00,1,324,3.0864197530864197
2017-09-21 00:09:00,2,254,7.874015748031496
2017-09-28 00:09:00,2,732,2.73224043715847
