STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/27/18,13.87,0,0,0,48,62,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/28/18,11.18,0,0,0,51,59,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/1/18,14.54,0.81,0,0,39,46,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/2/18,6.26,0,0,0,38,48,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/3/18,7.83,0,0,0,38,43,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/4/18,12.3,0,0,0,38,46,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/5/18,17.45,0.11,0.4,0,37,40,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/6/18,8.72,0.07,0,0,35,41,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/7/18,13.65,0,0,0,31,34,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/8/18,11.18,0,0,0,28,34,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/9/18,6.49,0,0,0,30,41,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/10/18,5.59,0,0,0,33,41,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/11/18,8.28,0,0,0,34,40,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/12/18,11.41,0,0,0,37,46,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/13/18,10.74,0.22,2.2,0,32,35,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/14/18,10.96,0,0,1.2,30,48,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/15/18,9.17,0,0,0,40,50,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/16/18,10.96,0,0,0,32,38,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/17/18,10.07,0,0,0,37,46,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/18/18,4.7,0,0,0,40,57,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/19/18,15.21,0,0,0,41,46,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/20/18,17,0,0,0,33,37,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/21/18,10.51,0,0,0,33,40,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/22/18,6.93,0,0,0,34,50,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/23/18,9.17,0,0,0,36,43,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/24/18,17.45,0,0,0,36,40,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/25/18,14.09,0,0,0,34,41,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/26/18,9.62,0.23,0,0,39,53,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/27/18,9.4,0.15,0,0,49,51,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/28/18,4.47,0.01,0,0,45,54,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/29/18,8.95,0.05,0,0,45,50,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/30/18,7.83,0,0,0,39,49,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/31/18,15.88,0.09,0,0,44,58,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/1/18,7.83,0,0,0,32,35,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/2/18,6.93,0,0,0,32,44,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/3/18,12.08,0.2,0,0,39,40,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/4/18,15.21,0.01,0.2,0,32,35,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/5/18,7.38,0.07,0,0,32,42,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/18,14.32,0,0,0,35,38,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/18,8.95,0,0,0,28,39,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/18,6.93,0.01,0,0,31,39,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/9/18,6.04,0.13,2,1.2,33,39,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/10/18,8.5,0,0,0,36,46,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/11/18,9.84,0.05,0,0,48,66,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/12/18,14.09,0.03,0,0,56,73,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/13/18,13.2,0.07,0,0,43,47,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/14/18,21.03,0.96,0,0,39,39,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/15/18,13.65,0.74,0.2,0,35,37,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/16/18,14.99,0.01,0.3,0,31,35,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/17/18,11.18,0,0,0,35,43,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/18/18,11.63,0.41,0.4,0,35,37,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/19/18,9.84,0.01,0.1,0,39,55,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/20/18,4.92,0,0,0,47,61,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/21/18,3.8,0,0,0,47,55,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/22/18,10.51,0,0,0,50,62,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/23/18,11.86,0,0,0,51,63,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/24/18,8.5,0,0,0,55,65,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/25/18,13.87,0,0,0,49,53,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/26/18,3.8,0,0,0,48,66,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/27/18,13.87,0.02,0,0,53,58,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/28/18,12.3,0,0,0,42,50,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/29/18,6.71,0,0,0,43,59,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/30/18,12.53,0,0,0,56,80,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/1/18,15.43,0,0,0,72,86,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/2/18,12.3,1.32,0,0,77,86,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/3/18,7.16,0.57,0,0,64,70,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/4/18,14.32,0,0,0,65,74,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/5/18,8.5,0,0,0,70,82,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/6/18,9.84,0,0,0,62,68,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/7/18,5.59,0,0,0,59,75,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/8/18,6.93,0,0,0,69,81,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/9/18,13.42,0.25,0,0,70,81,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/10/18,9.17,0,0,0,66,73,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/11/18,14.99,0.04,0,0,52,52,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/12/18,12.53,0.33,0,0,46,50,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/13/18,6.26,0.91,0,0,52,67,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/14/18,8.28,1.54,0,0,62,83,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/15/18,10.96,0,0,0,64,71,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/16/18,5.37,0,0,0,62,79,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/17/18,9.17,0,0,0,63,69,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/18/18,10.96,0.1,0,0,57,65,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/19/18,5.37,0.02,0,0,60,69,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/20/18,13.65,0.27,0,0,51,55,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/21/18,6.26,1.96,0,0,53,64,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/22/18,4.7,0,0,0,59,67,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/23/18,4.03,0,0,0,64,80,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/24/18,5.14,0,0,0,71,87,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/25/18,8.95,0,0,0,78,89,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/26/18,6.93,0,0,0,79,90,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/27/18,4.7,0,0,0,83,97,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/28/18,7.16,0,0,0,83,95,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/29/18,6.71,0,0,0,77,87,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/30/18,8.05,0.9,0,0,75,86,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/31/18,9.62,0,0,0,77,89,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/1/18,13.42,0,0,0,71,76,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/2/18,8.72,0.31,0,0,60,70,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/3/18,14.32,0,0,0,67,78,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/4/18,10.07,0,0,0,67,80,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/5/18,13.2,0.01,0,0,67,72,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/6/18,5.82,0.1,0,0,61,79,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/7/18,8.72,0,0,0,71,81,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/8/18,8.28,0,0,0,64,73,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/9/18,5.82,1.31,0,0,66,82,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/10/18,7.83,1.34,0,0,65,71,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/11/18,9.62,0.1,0,0,64,70,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/12/18,3.8,0,0,0,69,80,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/13/18,8.72,0,0,0,75,81,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/14/18,4.47,0,0,0,73,81,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/15/18,6.71,0,0,0,74,89,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/16/18,9.62,0.65,0,0,81,92,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/17/18,10.74,0,0,0,86,93,78
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/18/18,12.75,0.36,0,0,87,95,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/19/18,8.5,0.02,0,0,71,81,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/20/18,8.05,0,0,0,69,77,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/21/18,12.75,1.41,0,0,66,67,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/22/18,13.87,1.23,0,0,62,64,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/23/18,5.37,0,0,0,68,81,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/24/18,8.72,0,0,0,73,80,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/25/18,11.41,0,0,0,69,78,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/26/18,8.95,0.76,0,0,73,84,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/27/18,6.71,0.03,0,0,73,80,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/28/18,4.7,0,0,0,76,88,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/29/18,10.07,0,0,0,82,96,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/30/18,11.18,0,0,0,87,94,80
